fb_tx_id	mean_conservation
FBtr0070094	0.458720804
FBtr0070098	0.590386212
FBtr0070099	0.708199824
FBtr0070100	0.414392638
FBtr0070101	0.271488916
FBtr0070103	0.27992385
FBtr0070106	0.309304363
FBtr0070107	0.566153118
FBtr0070108	0.568323086
FBtr0070109	0.373811397
FBtr0070110	0.505728064
FBtr0070115	0.490418336
FBtr0070116	0.5550357
FBtr0070118	0.556257736
FBtr0070119	0.213748637
FBtr0070120	0.42136538
FBtr0070121	0.40395818
FBtr0070122	0.472947796
FBtr0070123	0.37286488
FBtr0070125	0.414543115
FBtr0070126	0.417309339
FBtr0070127	0.417233596
FBtr0070128	0.446771686
FBtr0070129	0.453137043
FBtr0070130	0.399498763
FBtr0070134	0.483544234
FBtr0070135	0.430153945
FBtr0070137	0.426173127
FBtr0070138	0.386530714
FBtr0070139	0.616693729
FBtr0070140	0.479229089
FBtr0070141	0.427024941
FBtr0070142	0.273122105
FBtr0070145	0.083400111
FBtr0070146	0.557043707
FBtr0070147	0.536618345
FBtr0070148	0.588206977
FBtr0070149	0.474917225
FBtr0070150	0.388813807
FBtr0070151	0.481765344
FBtr0070155	0.592753927
FBtr0070156	0.575570906
FBtr0070157	0.574792851
FBtr0070158	0.573228151
FBtr0070159	0.658506757
FBtr0070160	0.656767535
FBtr0070161	0.543095233
FBtr0070163	0.062925085
FBtr0070164	0.316621697
FBtr0070165	0.559762102
FBtr0070167	0.624558472
FBtr0070168	0.648101794
FBtr0070169	0.660605089
FBtr0070170	0.552437587
FBtr0070171	0.202535826
FBtr0070172	0.339872881
FBtr0070173	0.568976
FBtr0070174	0.342637427
FBtr0070175	0.524062613
FBtr0070176	0.37046421
FBtr0070179	0.535566787
FBtr0070180	0.063761711
FBtr0070181	0.510459728
FBtr0070182	0.665276299
FBtr0070183	0.256339858
FBtr0070184	0.515790055
FBtr0070185	0.401404551
FBtr0070186	0.779699519
FBtr0070187	0.608183248
FBtr0070188	0.627954768
FBtr0070189	0.543085583
FBtr0070191	0.681983062
FBtr0070195	0.284455927
FBtr0070197	0.620115559
FBtr0070198	0.483670498
FBtr0070199	0.411797688
FBtr0070200	0.356485167
FBtr0070201	0.510937096
FBtr0070202	0.491615012
FBtr0070203	0.268144237
FBtr0070204	0.322229437
FBtr0070205	0.431953822
FBtr0070206	0.416024155
FBtr0070207	0.425473867
FBtr0070208	0.550389799
FBtr0070211	0.549999371
FBtr0070212	0.560955291
FBtr0070213	0.606020022
FBtr0070215	0.41439884
FBtr0070216	0.621919662
FBtr0070219	0.454145624
FBtr0070222	0.539265091
FBtr0070225	0.526022642
FBtr0070230	0.52781702
FBtr0070231	0.426082065
FBtr0070233	0.502084228
FBtr0070234	0.495296625
FBtr0070235	0.626772161
FBtr0070236	0.580247436
FBtr0070237	0.616972689
FBtr0070238	0.542234118
FBtr0070239	0.454887264
FBtr0070241	0.741308945
FBtr0070244	0.45729602
FBtr0070245	0.431801461
FBtr0070249	0.457364012
FBtr0070250	0.198260635
FBtr0070251	0.403853704
FBtr0070252	0.345579267
FBtr0070253	0.469456701
FBtr0070254	0.4840205
FBtr0070255	0.537443099
FBtr0070256	0.597605048
FBtr0070257	0.38458271
FBtr0070258	0.223608351
FBtr0070259	0.496353884
FBtr0070260	0.434840202
FBtr0070261	0.382399285
FBtr0070262	0.350727926
FBtr0070263	0.376566283
FBtr0070265	0.392523958
FBtr0070269	0.636171622
FBtr0070270	0.476183564
FBtr0070272	0.525021605
FBtr0070277	0.422940088
FBtr0070278	0.221119902
FBtr0070279	0.498360879
FBtr0070283	0.586726457
FBtr0070284	0.427039528
FBtr0070285	0.427411867
FBtr0070288	0.520451791
FBtr0070289	0.623478664
FBtr0070291	0.769173203
FBtr0070292	0.429282828
FBtr0070293	0.41351001
FBtr0070295	0.421290076
FBtr0070296	0.561176329
FBtr0070297	0.640545902
FBtr0070298	0.431554007
FBtr0070299	0.409971993
FBtr0070301	0.19245721
FBtr0070308	0.656594484
FBtr0070310	0.611652076
FBtr0070311	0.640331424
FBtr0070312	0.483969903
FBtr0070313	0.525611642
FBtr0070314	0.6375
FBtr0070315	0.624708657
FBtr0070316	0.72533885
FBtr0070317	0.508097271
FBtr0070318	0.527579915
FBtr0070319	0.527228219
FBtr0070320	0.560011116
FBtr0070321	0.594410453
FBtr0070326	0.502133256
FBtr0070327	0.541953896
FBtr0070328	0.389801826
FBtr0070330	0.499339387
FBtr0070331	0.600214286
FBtr0070334	0.441620359
FBtr0070335	0.44106368
FBtr0070336	0.443053681
FBtr0070337	0.478080435
FBtr0070338	0.293348666
FBtr0070339	0.647160765
FBtr0070340	0.557052377
FBtr0070341	0.483888374
FBtr0070342	0.348587097
FBtr0070343	0.561365957
FBtr0070346	0.670429026
FBtr0070347	0.717030949
FBtr0070349	0.471506194
FBtr0070350	0.697818217
FBtr0070351	0.669927179
FBtr0070352	0.499715066
FBtr0070353	0.594953912
FBtr0070354	0.597782632
FBtr0070355	0.435522298
FBtr0070356	0.333366013
FBtr0070362	0.550891014
FBtr0070364	0.549758007
FBtr0070365	0.623470796
FBtr0070366	0.697832746
FBtr0070367	0.663133184
FBtr0070368	0.711706389
FBtr0070369	0.449584977
FBtr0070371	0.669111991
FBtr0070372	0.472722222
FBtr0070374	0.097436836
FBtr0070375	0.566267785
FBtr0070376	0.429935437
FBtr0070378	0.461300432
FBtr0070379	0.451039887
FBtr0070380	0.527650914
FBtr0070381	0.54599884
FBtr0070383	0.699292759
FBtr0070384	0.587039056
FBtr0070385	0.413308353
FBtr0070386	0.612465574
FBtr0070387	0.378473341
FBtr0070388	0.447607565
FBtr0070389	0.524368075
FBtr0070390	0.770956113
FBtr0070392	0.347398429
FBtr0070393	0.426475303
FBtr0070394	0.517479675
FBtr0070395	0.655462713
FBtr0070396	0.385622622
FBtr0070397	0.477037147
FBtr0070398	0.578784491
FBtr0070399	0.425656009
FBtr0070401	0.713252603
FBtr0070402	0.491711556
FBtr0070403	0.493108398
FBtr0070404	0.547823951
FBtr0070405	0.680188361
FBtr0070406	0.295760897
FBtr0070407	0.328486982
FBtr0070408	0.434319115
FBtr0070411	0.622781497
FBtr0070412	0.445662504
FBtr0070414	0.597035269
FBtr0070415	0.567365416
FBtr0070416	0.429063783
FBtr0070417	0.415096809
FBtr0070418	0.837370866
FBtr0070419	0.651864768
FBtr0070420	0.568713971
FBtr0070421	0.428763184
FBtr0070422	0.579821845
FBtr0070423	0.405035839
FBtr0070424	0.237748422
FBtr0070425	0.804898259
FBtr0070426	0.421076883
FBtr0070427	0.30772438
FBtr0070428	0.345310804
FBtr0070429	0.577266381
FBtr0070430	0.621559526
FBtr0070431	0.436087764
FBtr0070432	0.470019447
FBtr0070433	0.602653015
FBtr0070434	0.735985943
FBtr0070435	0.586464774
FBtr0070436	0.404879567
FBtr0070437	0.444995536
FBtr0070438	0.62538959
FBtr0070439	0.425482533
FBtr0070440	0.473183094
FBtr0070441	0.565006849
FBtr0070442	0.504008543
FBtr0070445	0.593982912
FBtr0070446	0.872412844
FBtr0070447	0.553941284
FBtr0070448	0.400897467
FBtr0070450	0.649342505
FBtr0070457	0.482243614
FBtr0070458	0.525891188
FBtr0070459	0.455490986
FBtr0070460	0.717974152
FBtr0070461	0.551330049
FBtr0070462	0.649956578
FBtr0070466	0.357165611
FBtr0070467	0.351324752
FBtr0070470	0.351869911
FBtr0070471	0.367484635
FBtr0070472	0.356019006
FBtr0070475	0.358284601
FBtr0070476	0.357972427
FBtr0070477	0.378714067
FBtr0070478	0.265067269
FBtr0070479	0.641353228
FBtr0070480	0.512556449
FBtr0070481	0.215345271
FBtr0070482	0.215625665
FBtr0070484	0.135408992
FBtr0070485	0.497118467
FBtr0070486	0.169766284
FBtr0070487	0.331892373
FBtr0070488	0.199678642
FBtr0070489	0.39015528
FBtr0070490	0.53971319
FBtr0070491	0.404197527
FBtr0070492	0.40628046
FBtr0070494	0.331090217
FBtr0070495	0.511033524
FBtr0070496	0.516886147
FBtr0070497	0.541582613
FBtr0070498	0.537789062
FBtr0070499	0.590684832
FBtr0070501	0.475447041
FBtr0070502	0.631208417
FBtr0070503	0.630779403
FBtr0070504	0.328504762
FBtr0070505	0.383184989
FBtr0070506	0.434540328
FBtr0070507	0.504613784
FBtr0070508	0.31818009
FBtr0070509	0.320790113
FBtr0070511	0.374903939
FBtr0070517	0.39866546
FBtr0070518	0.400732468
FBtr0070519	0.377856363
FBtr0070520	0.400578313
FBtr0070521	0.398911602
FBtr0070522	0.512402712
FBtr0070523	0.150713193
FBtr0070524	0.180785714
FBtr0070525	0.347611448
FBtr0070526	0.111307491
FBtr0070527	0.424649067
FBtr0070529	0.432643246
FBtr0070530	0.222563972
FBtr0070531	0.408827755
FBtr0070532	0.640862275
FBtr0070534	0.319561798
FBtr0070536	0.553333936
FBtr0070537	0.222946377
FBtr0070538	0.466655431
FBtr0070539	0.152920875
FBtr0070540	0.162705128
FBtr0070541	0.254535009
FBtr0070542	0.435603276
FBtr0070543	0.352097525
FBtr0070546	0.215647469
FBtr0070550	0.536578594
FBtr0070551	0.13202381
FBtr0070552	0.590201528
FBtr0070553	0.351633971
FBtr0070554	0.457287419
FBtr0070555	0.210978041
FBtr0070556	0.552227464
FBtr0070557	0.4054846
FBtr0070558	0.701539891
FBtr0070559	0.388059308
FBtr0070560	0.579359018
FBtr0070561	0.516493671
FBtr0070562	0.485857724
FBtr0070563	0.605027636
FBtr0070564	0.495554184
FBtr0070565	0.409719359
FBtr0070566	0.256679928
FBtr0070567	0.254194845
FBtr0070568	0.606976744
FBtr0070569	0.305060448
FBtr0070570	0.25478294
FBtr0070571	0.257862438
FBtr0070575	0.294733992
FBtr0070577	0.524797551
FBtr0070578	0.340246572
FBtr0070579	0.345285827
FBtr0070582	0.330981091
FBtr0070586	0.426115142
FBtr0070588	0.396636547
FBtr0070589	0.229831756
FBtr0070590	0.595416021
FBtr0070591	0.516119808
FBtr0070596	0.591646841
FBtr0070597	0.423511905
FBtr0070598	0.424895177
FBtr0070599	0.385577848
FBtr0070600	0.423842192
FBtr0070605	0.454046512
FBtr0070606	0.47625425
FBtr0070608	0.461740604
FBtr0070609	0.455451789
FBtr0070611	0.667958183
FBtr0070612	0.519012508
FBtr0070613	0.129422713
FBtr0070614	0.144928722
FBtr0070615	0.158845506
FBtr0070616	0.344553996
FBtr0070618	0.348666738
FBtr0070624	0.565293492
FBtr0070625	0.557525008
FBtr0070626	0.502700977
FBtr0070627	0.591480599
FBtr0070631	0.393007457
FBtr0070632	0.436583489
FBtr0070634	0.290854856
FBtr0070635	0.301103399
FBtr0070637	0.106204704
FBtr0070638	0.576334254
FBtr0070639	0.425820655
FBtr0070641	0.430899204
FBtr0070642	0.206082305
FBtr0070643	0.431882444
FBtr0070644	0.553817563
FBtr0070645	0.245382604
FBtr0070646	0.481832461
FBtr0070647	0.319368023
FBtr0070648	0.326093669
FBtr0070650	0.399807628
FBtr0070651	0.459638684
FBtr0070652	0.633374947
FBtr0070653	0.25956066
FBtr0070654	0.179109712
FBtr0070655	0.525417808
FBtr0070656	0.583835302
FBtr0070657	0.340612385
FBtr0070658	0.092420957
FBtr0070659	0.21566506
FBtr0070660	0.277137795
FBtr0070661	0.306537459
FBtr0070663	0.485628339
FBtr0070664	0.368367816
FBtr0070665	0.398145387
FBtr0070666	0.395673648
FBtr0070667	0.39474425
FBtr0070668	0.629068452
FBtr0070669	0.679386972
FBtr0070670	0.55402027
FBtr0070671	0.628945478
FBtr0070672	0.461368242
FBtr0070674	0.545450139
FBtr0070675	0.54853821
FBtr0070676	0.396048715
FBtr0070677	0.49346509
FBtr0070678	0.669464423
FBtr0070679	0.541636976
FBtr0070680	0.46592201
FBtr0070681	0.492988193
FBtr0070682	0.61735974
FBtr0070683	0.539297386
FBtr0070684	0.531002792
FBtr0070685	0.449704265
FBtr0070686	0.386768712
FBtr0070687	0.409181171
FBtr0070688	0.348198642
FBtr0070689	0.494648581
FBtr0070690	0.391665592
FBtr0070691	0.402112325
FBtr0070692	0.353891111
FBtr0070693	0.699147831
FBtr0070696	0.277431825
FBtr0070697	0.338629393
FBtr0070698	0.469240483
FBtr0070699	0.683303607
FBtr0070701	0.451952722
FBtr0070702	0.651385246
FBtr0070703	0.446231491
FBtr0070704	0.342095328
FBtr0070705	0.345167718
FBtr0070707	0.345409173
FBtr0070708	0.622440393
FBtr0070709	0.625027817
FBtr0070710	0.634463097
FBtr0070711	0.60387289
FBtr0070712	0.40839071
FBtr0070713	0.353125597
FBtr0070715	0.561296528
FBtr0070716	0.269023256
FBtr0070717	0.15398808
FBtr0070721	0.674253403
FBtr0070723	0.540213772
FBtr0070724	0.448012459
FBtr0070725	0.44931466
FBtr0070727	0.115186977
FBtr0070728	0.396734982
FBtr0070729	0.242807421
FBtr0070731	0.075883507
FBtr0070734	0.074969676
FBtr0070735	0.539600832
FBtr0070736	0.119324821
FBtr0070738	0.421951875
FBtr0070739	0.449064156
FBtr0070740	0.474150036
FBtr0070741	0.182382784
FBtr0070742	0.429092503
FBtr0070745	0.532915167
FBtr0070748	0.546521116
FBtr0070749	0.251417333
FBtr0070750	0.220799492
FBtr0070751	0.583095557
FBtr0070752	0.205623579
FBtr0070753	0.204947881
FBtr0070755	0.269231651
FBtr0070756	0.674228106
FBtr0070757	0.277274849
FBtr0070758	0.23249762
FBtr0070759	0.489767931
FBtr0070762	0.803879281
FBtr0070763	0.429947327
FBtr0070764	0.5178739
FBtr0070772	0.536985127
FBtr0070773	0.530238657
FBtr0070774	0.532408879
FBtr0070775	0.534267375
FBtr0070776	0.493917024
FBtr0070777	0.346781145
FBtr0070778	0.341196324
FBtr0070779	0.405698925
FBtr0070780	0.383098013
FBtr0070781	0.416420856
FBtr0070782	0.509624034
FBtr0070783	0.468403739
FBtr0070784	0.631059641
FBtr0070791	0.336983731
FBtr0070792	0.232566169
FBtr0070793	0.234592165
FBtr0070794	0.410070285
FBtr0070795	0.385235945
FBtr0070797	0.418459922
FBtr0070798	0.586169656
FBtr0070799	0.582014126
FBtr0070800	0.599969147
FBtr0070801	0.639017327
FBtr0070802	0.3743125
FBtr0070804	0.542798964
FBtr0070806	0.627094743
FBtr0070807	0.571711843
FBtr0070808	0.542082515
FBtr0070809	0.442080457
FBtr0070813	0.298196092
FBtr0070814	0.248191907
FBtr0070815	0.615610778
FBtr0070816	0.591467128
FBtr0070817	0.363977635
FBtr0070819	0.307441354
FBtr0070820	0.113259369
FBtr0070821	0.449963872
FBtr0070822	0.623984908
FBtr0070823	0.627271943
FBtr0070824	0.536038208
FBtr0070825	0.500809082
FBtr0070826	0.565172169
FBtr0070827	0.442762798
FBtr0070828	0.625338266
FBtr0070829	0.445202188
FBtr0070830	0.652409271
FBtr0070832	0.426249739
FBtr0070833	0.487326097
FBtr0070836	0.385903959
FBtr0070837	0.543661617
FBtr0070838	0.549723152
FBtr0070840	0.326901869
FBtr0070841	0.494980214
FBtr0070842	0.495065085
FBtr0070843	0.349210074
FBtr0070844	0.42204578
FBtr0070845	0.495080129
FBtr0070846	0.690784704
FBtr0070847	0.570693432
FBtr0070848	0.45346274
FBtr0070849	0.607451679
FBtr0070850	0.628896423
FBtr0070858	0.316320977
FBtr0070859	0.160189082
FBtr0070860	0.160830876
FBtr0070861	0.188051511
FBtr0070862	0.18850924
FBtr0070863	0.413807018
FBtr0070864	0.281980414
FBtr0070865	0.443525127
FBtr0070866	0.511970519
FBtr0070867	0.434789783
FBtr0070871	0.477281874
FBtr0070872	0.421014503
FBtr0070873	0.437022959
FBtr0070874	0.468356223
FBtr0070877	0.538816453
FBtr0070878	0.382656385
FBtr0070879	0.400980185
FBtr0070880	0.474064215
FBtr0070881	0.440660321
FBtr0070884	0.558010613
FBtr0070886	0.469532083
FBtr0070887	0.534601889
FBtr0070888	0.391274315
FBtr0070889	0.32295298
FBtr0070890	0.459108086
FBtr0070891	0.511001518
FBtr0070892	0.400541618
FBtr0070893	0.460657619
FBtr0070894	0.555012856
FBtr0070895	0.432245005
FBtr0070896	0.699392444
FBtr0070897	0.595650694
FBtr0070898	0.491998896
FBtr0070899	0.58166062
FBtr0070900	0.443980769
FBtr0070901	0.552416565
FBtr0070903	0.39648017
FBtr0070904	0.454418273
FBtr0070905	0.46724275
FBtr0070906	0.358824894
FBtr0070907	0.407439246
FBtr0070908	0.606353284
FBtr0070912	0.484306546
FBtr0070913	0.650132659
FBtr0070914	0.623336322
FBtr0070915	0.591870925
FBtr0070916	0.586944444
FBtr0070918	0.290472799
FBtr0070921	0.485720692
FBtr0070922	0.29931719
FBtr0070924	0.589712163
FBtr0070925	0.428262162
FBtr0070926	0.620814516
FBtr0070927	0.548558648
FBtr0070930	0.761272985
FBtr0070933	0.744054878
FBtr0070937	0.423680795
FBtr0070938	0.42379613
FBtr0070943	0.491232867
FBtr0070945	0.446663808
FBtr0070946	0.329838418
FBtr0070947	0.328992849
FBtr0070948	0.413329804
FBtr0070950	0.400778759
FBtr0070951	0.331756957
FBtr0070952	0.799604167
FBtr0070953	0.510395102
FBtr0070954	0.608948592
FBtr0070955	0.590564882
FBtr0070956	0.555292904
FBtr0070959	0.465029489
FBtr0070960	0.473939664
FBtr0070961	0.16227413
FBtr0070962	0.171911625
FBtr0070963	0.568766075
FBtr0070964	0.580650532
FBtr0070965	0.582438796
FBtr0070966	0.595910355
FBtr0070967	0.5898219
FBtr0070968	0.590865498
FBtr0070969	0.759246348
FBtr0070970	0.588974753
FBtr0070972	0.528721615
FBtr0070973	0.707263975
FBtr0070974	0.688250913
FBtr0070978	0.4884815
FBtr0070980	0.442459757
FBtr0070981	0.442041791
FBtr0070982	0.43952381
FBtr0070983	0.436042125
FBtr0070984	0.405235957
FBtr0070985	0.473986977
FBtr0070986	0.514888017
FBtr0070987	0.550037107
FBtr0070988	0.613263407
FBtr0070989	0.523545532
FBtr0070990	0.462955328
FBtr0070991	0.440590696
FBtr0070992	0.526703125
FBtr0070993	0.547101411
FBtr0070994	0.645561484
FBtr0070995	0.547736742
FBtr0071003	0.580950617
FBtr0071004	0.629307692
FBtr0071005	0.531034826
FBtr0071006	0.515515876
FBtr0071007	0.568416667
FBtr0071008	0.50768758
FBtr0071009	0.518804878
FBtr0071010	0.545610155
FBtr0071013	0.538973756
FBtr0071014	0.554718591
FBtr0071015	0.431373032
FBtr0071016	0.439510429
FBtr0071017	0.556624472
FBtr0071018	0.591505852
FBtr0071019	0.378096541
FBtr0071020	0.46095004
FBtr0071032	0.367226826
FBtr0071033	0.714945504
FBtr0071034	0.431631833
FBtr0071035	0.572214893
FBtr0071036	0.428230528
FBtr0071037	0.42306479
FBtr0071038	0.569824287
FBtr0071039	0.434076203
FBtr0071040	0.560071233
FBtr0071041	0.434080695
FBtr0071042	0.47554501
FBtr0071046	0.134568507
FBtr0071047	0.385686957
FBtr0071048	0.54612406
FBtr0071049	0.470509915
FBtr0071051	0.517004771
FBtr0071052	0.453670645
FBtr0071053	0.45125962
FBtr0071054	0.195261283
FBtr0071055	0.473807125
FBtr0071056	0.169074189
FBtr0071057	0.554041379
FBtr0071058	0.331625287
FBtr0071059	0.252438931
FBtr0071060	0.328386076
FBtr0071063	0.348838863
FBtr0071064	0.139589421
FBtr0071065	0.356923775
FBtr0071066	0.462536381
FBtr0071067	0.250077885
FBtr0071068	0.513148426
FBtr0071069	0.498247159
FBtr0071070	0.549473782
FBtr0071071	0.563064288
FBtr0071072	0.529944766
FBtr0071073	0.488762613
FBtr0071074	0.40765597
FBtr0071075	0.321137669
FBtr0071076	0.563911876
FBtr0071077	0.809219837
FBtr0071078	0.477065488
FBtr0071079	0.376349128
FBtr0071081	0.093515078
FBtr0071083	0.117696143
FBtr0071087	0.367549715
FBtr0071088	0.364216228
FBtr0071089	0.794112364
FBtr0071090	0.694825766
FBtr0071091	0.490704455
FBtr0071092	0.650352063
FBtr0071093	0.608612965
FBtr0071094	0.600306624
FBtr0071096	0.631883592
FBtr0071099	0.2064241
FBtr0071101	0.43217795
FBtr0071105	0.449250378
FBtr0071106	0.4157978
FBtr0071107	0.395161445
FBtr0071108	0.710989893
FBtr0071109	0.51994195
FBtr0071110	0.635334764
FBtr0071111	0.518705969
FBtr0071112	0.391203695
FBtr0071113	0.427169628
FBtr0071114	0.42464923
FBtr0071116	0.409917333
FBtr0071117	0.628944572
FBtr0071118	0.464976912
FBtr0071119	0.454822167
FBtr0071121	0.467452551
FBtr0071122	0.498129344
FBtr0071123	0.177111986
FBtr0071124	0.165551862
FBtr0071125	0.477682841
FBtr0071126	0.507554116
FBtr0071127	0.153578775
FBtr0071129	0.493494122
FBtr0071130	0.520180175
FBtr0071131	0.519576196
FBtr0071132	0.432602602
FBtr0071133	0.452297833
FBtr0071134	0.559087638
FBtr0071135	0.588747953
FBtr0071136	0.5738521
FBtr0071140	0.581994624
FBtr0071141	0.703153242
FBtr0071142	0.567284404
FBtr0071143	0.770870794
FBtr0071145	0.407897576
FBtr0071149	0.462204897
FBtr0071150	0.175349883
FBtr0071151	0.54084452
FBtr0071152	0.322613014
FBtr0071153	0.628689305
FBtr0071155	0.493258304
FBtr0071157	0.312261029
FBtr0071158	0.347656999
FBtr0071160	0.219766829
FBtr0071166	0.3361725
FBtr0071167	0.549515479
FBtr0071168	0.587116682
FBtr0071169	0.618930468
FBtr0071170	0.368552574
FBtr0071171	0.521504129
FBtr0071173	0.364584318
FBtr0071174	0.451905057
FBtr0071175	0.491138146
FBtr0071176	0.034287523
FBtr0071178	0.503304113
FBtr0071179	0.323725091
FBtr0071180	0.787588428
FBtr0071181	0.809431275
FBtr0071183	0.455889785
FBtr0071184	0.490390673
FBtr0071185	0.535454487
FBtr0071186	0.195296604
FBtr0071187	0.352347377
FBtr0071188	0.472682442
FBtr0071189	0.774327508
FBtr0071190	0.763979988
FBtr0071191	0.276858902
FBtr0071192	0.575677927
FBtr0071193	0.430209447
FBtr0071194	0.678171317
FBtr0071197	0.517504537
FBtr0071198	0.548451441
FBtr0071201	0.517064876
FBtr0071202	0.471776578
FBtr0071203	0.751234025
FBtr0071204	0.683464873
FBtr0071207	0.389554621
FBtr0071208	0.388804324
FBtr0071209	0.38965784
FBtr0071212	0.470781296
FBtr0071213	0.471256293
FBtr0071214	0.404472267
FBtr0071218	0.683145263
FBtr0071219	0.646629589
FBtr0071221	0.479115385
FBtr0071222	0.385834258
FBtr0071223	0.363040404
FBtr0071224	0.437126984
FBtr0071225	0.47738662
FBtr0071228	0.428869722
FBtr0071229	0.434093521
FBtr0071230	0.209422846
FBtr0071231	0.226321611
FBtr0071232	0.740121951
FBtr0071233	0.322105784
FBtr0071234	0.729173913
FBtr0071235	0.52068321
FBtr0071236	0.33396886
FBtr0071239	0.425860244
FBtr0071240	0.44598722
FBtr0071241	0.386880685
FBtr0071242	0.229215743
FBtr0071243	0.312582386
FBtr0071244	0.407094193
FBtr0071245	0.468631963
FBtr0071246	0.614721567
FBtr0071248	0.230226208
FBtr0071249	0.521760862
FBtr0071250	0.623156808
FBtr0071251	0.509828921
FBtr0071253	0.456262534
FBtr0071254	0.461470575
FBtr0071255	0.616621195
FBtr0071263	0.453940697
FBtr0071264	0.67148833
FBtr0071265	0.494377176
FBtr0071266	0.390834977
FBtr0071267	0.342072684
FBtr0071268	0.502100895
FBtr0071269	0.440329538
FBtr0071270	0.552207477
FBtr0071271	0.626442215
FBtr0071272	0.699588162
FBtr0071273	0.425067953
FBtr0071274	0.432802353
FBtr0071275	0.428388426
FBtr0071276	0.428531791
FBtr0071277	0.43485752
FBtr0071279	0.435287218
FBtr0071280	0.740991501
FBtr0071281	0.571403285
FBtr0071284	0.450844136
FBtr0071285	0.6567889
FBtr0071286	0.519754011
FBtr0071287	0.500196203
FBtr0071288	0.41703481
FBtr0071289	0.672495775
FBtr0071293	0.522698786
FBtr0071294	0.542664825
FBtr0071295	0.56242967
FBtr0071299	0.439229967
FBtr0071300	0.509091454
FBtr0071302	0.279568966
FBtr0071303	0.476970613
FBtr0071304	0.514803812
FBtr0071305	0.629668067
FBtr0071306	0.544324513
FBtr0071307	0.435864932
FBtr0071308	0.404597137
FBtr0071309	0.293081933
FBtr0071310	0.569425876
FBtr0071311	0.468040708
FBtr0071313	0.574778561
FBtr0071314	0.517100111
FBtr0071315	0.513779797
FBtr0071316	0.518716385
FBtr0071317	0.68499158
FBtr0071319	0.583438596
FBtr0071320	0.340094797
FBtr0071321	0.60917549
FBtr0071324	0.577600458
FBtr0071326	0.660144712
FBtr0071327	0.619826999
FBtr0071328	0.457023522
FBtr0071329	0.34959671
FBtr0071331	0.571483826
FBtr0071332	0.393318395
FBtr0071333	0.536661399
FBtr0071334	0.521244494
FBtr0071335	0.35064055
FBtr0071336	0.521064815
FBtr0071337	0.529156945
FBtr0071338	0.606306326
FBtr0071339	0.460162162
FBtr0071341	0.220920313
FBtr0071342	0.568993391
FBtr0071343	0.689108051
FBtr0071344	0.769267801
FBtr0071345	0.376590264
FBtr0071346	0.419270423
FBtr0071347	0.414231061
FBtr0071348	0.342739919
FBtr0071349	0.441081228
FBtr0071350	0.71680411
FBtr0071351	0.496556688
FBtr0071353	0.587553468
FBtr0071354	0.258518729
FBtr0071355	0.511050847
FBtr0071356	0.289124862
FBtr0071357	0.439788876
FBtr0071358	0.381576237
FBtr0071360	0.579889456
FBtr0071361	0.703039411
FBtr0071363	0.529851247
FBtr0071366	0.699915147
FBtr0071367	0.70958814
FBtr0071368	0.579843062
FBtr0071369	0.444002928
FBtr0071371	0.146848614
FBtr0071372	0.620764763
FBtr0071373	0.318993508
FBtr0071379	0.564562111
FBtr0071381	0.457603457
FBtr0071386	0.359192048
FBtr0071387	0.276074474
FBtr0071388	0.203113054
FBtr0071389	0.704928036
FBtr0071390	0.305188332
FBtr0071391	0.466178512
FBtr0071393	0.538461312
FBtr0071395	0.510493948
