CHR	START	END
CHR2R	3562982	3563765
CHR2R	4706273	4707609
CHR2R	5490107	5491670
CHR2R	5499634	5500627
CHR2R	6984838	6986276
CHR2R	6988222	6988585
CHR2R	6990701	6992454
CHR2R	6994450	6995066
CHR2R	7043558	7046404
CHR2R	7057833	7058489
CHR2R	7067774	7068392
CHR2R	7075099	7076069
CHR2R	7081019	7082211
CHR2R	8399159	8401228
CHR2R	8419660	8420606
CHR2R	8471382	8473284
CHR2R	8473539	8474916
CHR2R	8496447	8497292
CHR2R	8500439	8502071
CHR2R	8506418	8507105
CHR2R	8511505	8513549
CHR2R	8535191	8535724
CHR2R	8550765	8551422
CHR2R	8554981	8555643
CHR2R	8556785	8558735
CHR2R	9722495	9723440
CHR2R	9970936	9971409
CHR2R	9972667	9973799
CHR2R	10313953	10314598
CHR2R	10843999	10845906
CHR2R	11349627	11350890
CHR2R	12029562	12030180
CHR2R	13337324	13337669
CHR2R	14778336	14778682
CHR2R	14790047	14790600
CHR2R	16410132	16411890
CHR2R	16420827	16421434
CHR2R	16421580	16422612
CHR2R	16422767	16424628
CHR2R	16427306	16427858
CHR2R	16440737	16441311
CHR2R	16468350	16469335
CHR2R	16889894	16890376
CHR2R	17749032	17751364
CHR2R	18367703	18368351
CHR2R	18374184	18374602
CHR2R	18375068	18375866
CHR2R	18552931	18554179
CHR2R	18556798	18557489
CHR2R	19077512	19077992
CHR2R	19128816	19129461
CHR2R	19139569	19140344
CHR2R	19151721	19152071
CHR2R	19153106	19153664
CHR2R	19154639	19155328
CHR2R	19850067	19850412
CHR2R	19877348	19878011
CHR2R	20320858	20322988
CHR2R	20559526	20560882
CHR2R	20568819	20570050
CHR2R	20607937	20608305
CHR2R	20622994	20623574
CHR2R	20722480	20723722
CHR2R	20765711	20766442
CHRX	403422	403780
CHRX	445307	447817
CHRX	1978975	1982817
CHRX	1991293	1998200
CHRX	1998825	1999227
CHRX	2284786	2285686
CHRX	2290408	2292031
CHRX	2295986	2296531
CHRX	3653901	3654669
CHRX	4256040	4258698
CHRX	4265426	4265786
CHRX	4268298	4271200
CHRX	4271355	4272757
CHRX	4307267	4307612
CHRX	4353156	4354407
CHRX	4434733	4435203
CHRX	4435772	4436443
CHRX	4441138	4442691
CHRX	4445069	4445790
CHRX	4451653	4452391
CHRX	4461473	4462118
CHRX	4462391	4462742
CHRX	5405074	5407050
CHRX	5407189	5407546
CHRX	5409889	5410357
CHRX	5423950	5425184
CHRX	5439063	5439943
CHRX	5447415	5447811
CHRX	5845990	5847025
CHRX	5858094	5859221
CHRX	6955873	6956619
CHRX	7004416	7004836
CHRX	7049651	7050639
CHRX	7075585	7076049
CHRX	7097103	7098016
CHRX	7449527	7450235
CHRX	7471630	7473594
CHRX	7473985	7474938
CHRX	8300508	8301379
CHRX	8469742	8470917
CHRX	8481363	8482563
CHRX	8485365	8486174
CHRX	8495484	8497124
CHRX	8502585	8503027
CHRX	8506185	8506662
CHRX	8521048	8522398
CHRX	8540260	8540624
CHRX	8541216	8541774
CHRX	8640626	8641120
CHRX	8650361	8653172
CHRX	9129208	9129757
CHRX	9150704	9151238
CHRX	9537408	9539865
CHRX	9573517	9575266
CHRX	9594930	9595490
CHRX	9610723	9611355
CHRX	12449575	12450426
CHRX	13828157	13830228
CHRX	15189948	15190798
CHRX	15981088	15983429
CHRX	15984256	15985319
CHRX	16050546	16052281
CHRX	16065261	16065734
CHRX	17146915	17148825
CHRX	17179354	17180496
CHRX	17230957	17231831
CHRX	17598332	17599125
CHRX	17601366	17603187
CHRX	17622353	17624754
CHRX	17633273	17633918
CHRX	17635932	17636954
CHRX	17638121	17638767
CHRX	18142951	18143804
CHRX	18146255	18146803
CHRX	19379637	19380610
CHRX	19380765	19382480
CHRX	20393516	20394202
CHRX	20453967	20454978
CHRX	20497766	20498211
CHRX	20498976	20500375
CHRX	20500524	20501966
CHRX	20504525	20505391
CHRX	21184338	21185160
CHR2L	1	7578
CHR2L	377396	378474
CHR2L	507090	507435
CHR2L	585106	585451
CHR2L	594093	596101
CHR2L	597526	598071
CHR2L	1954296	1954996
CHR2L	1955151	1955576
CHR2L	1966986	1967731
CHR2L	1969918	1971568
CHR2L	1971716	1974066
CHR2L	2448479	2449118
CHR2L	2449709	2450076
CHR2L	3534174	3534776
CHR2L	3537915	3540777
CHR2L	3580675	3581512
CHR2L	3606185	3606633
CHR2L	3611793	3612608
CHR2L	3658121	3659108
CHR2L	3662239	3663565
CHR2L	3682226	3683001
CHR2L	3825093	3826115
CHR2L	3835120	3837206
CHR2L	4810359	4810804
CHR2L	4810959	4811950
CHR2L	5403451	5404441
CHR2L	5421463	5422220
CHR2L	5460459	5462120
CHR2L	5924932	5925678
CHR2L	6019684	6020617
CHR2L	6536030	6536747
CHR2L	6546835	6547180
CHR2L	6548032	6548384
CHR2L	6821033	6822137
CHR2L	6822292	6822717
CHR2L	6833173	6834234
CHR2L	7306251	7307778
CHR2L	7358975	7359320
CHR2L	8825021	8826144
CHR2L	11357059	11357798
CHR2L	11358727	11359272
CHR2L	11445301	11448073
CHR2L	12003709	12004657
CHR2L	12006159	12007822
CHR2L	12010082	12011743
CHR2L	12085408	12086503
CHR2L	12586751	12587453
CHR2L	12617604	12619014
CHR2L	12655584	12656031
CHR2L	12678254	12678839
CHR2L	14410198	14410748
CHR2L	14490246	14491138
CHR2L	15107141	15108240
CHR2L	15329507	15329961
CHR2L	15335508	15335959
CHR2L	16418392	16419428
CHR2L	16481391	16483763
CHR2L	18731436	18732009
CHR2L	18733155	18733708
CHR2L	18778981	18779726
CHR2L	18791639	18792843
CHR2L	18863499	18863857
CHR2L	18876691	18878765
CHR2L	18931698	18932789
CHR2L	19765197	19765889
CHR2L	20757308	20759135
CHR2L	20770147	20771551
CHR2L	21815625	21816470
CHR2L	21833999	21834386
CHR2L	21838933	21839378
CHR2L	21854034	21854451
CHR2L	21856135	21856804
CHR2L	21856959	21857597
CHR2L	21886656	21887001
CHR2L	22011857	22012658
CHR3L	1	3847
CHR3L	354482	355193
CHR3L	360534	362803
CHR3L	415712	416775
CHR3L	1086126	1086717
CHR3L	1161400	1162298
CHR3L	1347773	1348605
CHR3L	3608013	3609623
CHR3L	3616070	3616457
CHR3L	3829160	3829932
CHR3L	3839164	3839519
CHR3L	3862455	3863057
CHR3L	4823546	4823891
CHR3L	6084705	6085150
CHR3L	6763426	6764462
CHR3L	6877642	6878751
CHR3L	6962378	6963769
CHR3L	7920961	7922708
CHR3L	7932595	7932993
CHR3L	8978548	8979405
CHR3L	8992413	8993358
CHR3L	8993513	8994250
CHR3L	8998588	8998934
CHR3L	9014363	9016114
CHR3L	10199983	10200725
CHR3L	10245651	10246201
CHR3L	10262856	10263647
CHR3L	10267180	10267541
CHR3L	10283309	10283669
CHR3L	10298839	10299904
CHR3L	10982879	10985154
CHR3L	11900692	11901940
CHR3L	12302588	12302991
CHR3L	12407041	12409525
CHR3L	12441631	12442550
CHR3L	12553834	12554493
CHR3L	12580170	12580724
CHR3L	12583077	12584329
CHR3L	12601358	12601906
CHR3L	12626756	12627654
CHR3L	12666624	12668144
CHR3L	13377117	13377681
CHR3L	14096741	14099146
CHR3L	14115349	14116024
CHR3L	14142376	14143749
CHR3L	14544254	14545666
CHR3L	14545814	14546170
CHR3L	14564576	14566248
CHR3L	14997006	14997451
CHR3L	15009142	15009487
CHR3L	18365163	18366355
CHR3L	19628404	19630922
CHR3L	19647799	19649090
CHR3L	20555397	20556431
CHR3L	20629611	20630148
CHR3L	20726533	20726989
CHR3L	21392211	21395245
CHR3L	21410318	21411171
CHR3L	21412981	21414382
CHR3L	21518591	21518936
CHR3L	21531867	21532714
CHR3L	21741708	21742153
CHR3L	22658111	22658756
CHR4	404967	406245
CHR4	438620	439879
CHR4	443325	443834
CHR4	525519	525993
CHR4	527870	529028
CHR4	723950	725632
CHR4	827267	828973
CHR4	864705	865590
CHR4	1008905	1010803
CHR4	1117928	1119195
